"botanisch","deutsch","kategorie"
"Cyclamen hederifolium","Herbst-Alpenveilchen, Saubrot","Zwiebel- und knollenbildende Pflanzen"
"Cyclamen purpurascens","Wildes Alpenveilchen, Sommer-Alpenveilchen","Heimische, besonders geschützte Pflanzen"
"Cydonia oblonga 'Sorte'","Quitte, Echte Quitte","Obstgehölze"
"Cypripedium calceolus","Gelber Frauenschuh, Marien-Frauenschuh, Marienschuh","Heimische, besonders geschützte Pflanzen"
"Cytisus 'Andreanus Splendens' (Scoparius-Gruppe)","Edel-Ginster, Schmuck-Ginster","Laubgehölze"
"Dahlia 'Sorte'","Dahlie","Beet- und Balkonpflanzen, Wechselflor"
"Daphne mezereum","Gewöhnlicher Seidelbast, Kellerhals","Heimische, besonders geschützte Pflanzen"
"Delphinium 'Finsteraarhorn' (E = Elatum-Gruppe)","Garten-Rittersporn","Stauden"
"Deutzia gracilis","Zierliche Deutzie, Maiblumenstrauch","Laubgehölze"
"Deutzia scabra 'Plena'","Gefüllter Sternchenstrauch, Gefüllte Deutzie","Laubgehölze"
"Dianthus deltoides","Heide-Nelke","Heimische, besonders geschützte Pflanzen"
"Dianthus gratianopolitanus 'Eydangeri'","Garten-Pfingst-Nelke","Stauden"
"Dicentra spectabilis","Tränendes Herz","Stauden"
"Dictamnus albus","Gewöhnlicher Diptam, Brennender Busch","Heimische, besonders geschützte Pflanzen"
"Digitalis purpurea","Roter Fingerhut","Stauden"
"Doronicum orientale","Kaukasus-Gämswurz","Stauden"
"Drosera rotundifolia","Rundblättriger Sonnentau","Heimische, besonders geschützte Pflanzen"
"Dryopteris filix-mas","Gewöhnlicher Wurmfarn","Farne"
"Echinacea purpurea 'Magnus'","Roter Scheinsonnenhut, Garten-Purpursonnenhut","Stauden"
"Elaeagnus angustifolia","Schmalblättrige Ölweide","Laubgehölze"
"Elymus repens","Kriech-Quecke, Gewöhnliche Quecke","Unkräuter, Wildkräuter"
"Epilobium angustifolium","Schmalblättriges Weidenröschen","Unkräuter, Wildkräuter"
"Epimedium x perralchicum 'Frohnleiten'","Garten-Elfenblume","Stauden"
"Epipactis palustris","Sumpf-Ständelwurz, Sumpf-Stendelwurz, Sumpfwurz","Heimische, besonders geschützte Pflanzen"
"Epipremnum aureum","Goldene Efeutute","Pflanzen für die Innenraum-Begrünung"
"Equisetum arvense","Acker-Schachtelhalm, Zinnkraut","Unkräuter, Wildkräuter"
"Eranthis hyemalis","Kleiner Winterling, Südeuropäischer Winterling","Zwiebel- und knollenbildende Pflanzen"
"Eremurus robustus","Riesen-Steppenkerze, Kleopatranadel","Zwiebel- und knollenbildende Pflanzen"
"Erica carnea 'Vivellii'","Schnee-Heide, Winter-Heide","Laubgehölze"
"Erigeron 'Dunkelste Aller'","Feinstrahl, Garten-Berufkraut","Stauden"
"Erigeron annuus","Feinstrahl-Berufkraut, Einjähriger Feinstrahl","Unkräuter, Wildkräuter"
"Eriophorum vaginatum","Scheiden-Wollgras, Moor-Wollgras","Sumpf- und Wasserpflanzen"
"Euonymus alatus","Korkflügelstrauch, Flügel-Spindelstrauch, Geflügeltes Pfaffenhütchen","Laubgehölze"
"Euonymus europaeus","Pfaffenhütchen","Laubgehölze"
"Euonymus fortunei 'Emerald'n Gold'","Goldbunte Kriechspindel","Laubgehölze"
"Euonymus fortunei var. radicans","Immergrüne Kriechspindel","Laubgehölze"
"Euphorbia hypericifolia 'Inneuphe' (Syn.: Euphorbia hypericifolia DIAMOND FROST)","Zauberschnee","Beet- und Balkonpflanzen, Wechselflor"
"Euphorbia myrsinites","Walzen-Wolfsmilch","Stauden"
"Fagus sylvatica","Rot-Buche","Laubgehölze"
"Fagus sylvatica 'Pendula'","Grüne Hänge-Buche","Laubgehölze"
"Fagus sylvatica 'Purpurea Latifolia'","Veredelte Blut-Buche","Laubgehölze"
"Fallopia baldschuanica","Schling-Knöterich","Laubgehölze"
"Fargesia 'Jiuzhaigou Nr. 1'","Jade Bambus","Laubgehölze"
"Festuca glauca","Blau-Schwingel","Ziergräser"
"Ficus benjamina","Birken-Feige, Benjamin-Gummibaum","Pflanzen für die Innenraum-Begrünung"
"Filipendula ulmaria","Echtes Mädesüß","Stauden"
"Forsythia x intermedia 'Lynwood'","Goldglöckchen, Forsythie","Laubgehölze"
"Fraxinus excelsior","Gewöhnliche Esche","Laubgehölze"
"Fritillaria imperialis 'Lutea Maxima'","Kaiserkrone","Zwiebel- und knollenbildende Pflanzen"
"Fuchsia 'Sorte'","Fuchsie","Beet- und Balkonpflanzen, Wechselflor"
"Galanthus nivalis","Kleines Schneeglöckchen","Heimische, besonders geschützte Pflanzen"
"Galanthus nivalis","Kleines Schneeglöckchen","Zwiebel- und knollenbildende Pflanzen"
"Gaura lindheimeri","Prachtkerze","Stauden"
"Genista lydia","Stein-Ginster, Lydischer Ginster, Goldland-Ginster","Laubgehölze"
"Genista tinctoria","Färber-Ginster","Laubgehölze"
"Geranium sanguineum","Blutroter Storchschnabel","Stauden"
"Geranium x oxonianum 'Claridge Druce'","Oxford-Storchschnabel, Garten-Storchschnabel","Stauden"
"Geum 'Prinses Juliana'","Garten-Nelkenwurz","Stauden"
"Ginkgo biloba","Fächerblattbaum, Ginkgo","Nadelgehölze"
"Gleditsia triacanthos 'Sunburst'","Gold-Gleditschie, Gelber Lederhülsenbaum","Laubgehölze"
"Gypsophila repens 'Rosa Schönheit'","Teppich-Schleierkraut, Kriechendes Gipskraut","Stauden"
"Hamamelis x intermedia 'Pallida'","Hybrid-Zaubernuss, Großblütige Zaubernuss","Laubgehölze"
"Hedera helix","Gewöhnlicher Efeu","Laubgehölze"
"Helenium 'Kanaria'","Sonnenbraut","Stauden"
"Helianthemum 'Lawrenson´s Pink'","Sonnenröschen","Stauden"
"Helianthus annuus 'Sorte'","Sonnenblume","Beet- und Balkonpflanzen, Wechselflor"
"Helianthus decapetalus 'Capenoch Star'","Stauden-Sonnenblume","Stauden"
"Helleborus niger","Christrose, Schwarze Nieswurz","Heimische, besonders geschützte Pflanzen"
"Helleborus orientalis 'Sorte'","Garten-Lenzrose, Frühlings-Nieswurz","Stauden"
"Hemerocallis 'Corky'","Taglilie, Garten-Taglilie","Stauden"
"Hepatica nobilis","Gewöhnliches Leberblümchen","Heimische, besonders geschützte Pflanzen"
"Hepatica nobilis","Gewöhnliches Leberblümchen","Stauden"
"Heracleum mantegazzianum","Herkulesstaude, Riesen-Bärenklau","Unkräuter, Wildkräuter"
"Heuchera 'Obsidian'","Garten-Purpurglöckchen, Garten-Silberglöckchen","Stauden"
"Hibiscus syriacus 'Woodbridge'","Garten-Eibisch, Strauch-Eibisch","Laubgehölze"
"Hippophae rhamnoides","Sanddorn","Laubgehölze"
"Hippuris vulgaris","Tannenwedel","Sumpf- und Wasserpflanzen"
"Hosta 'Krossa Regal'","Garten-Funkie","Stauden"
"Hydrangea macrophylla 'Mariesii Perfecta' (Lacecap-Gruppe)","Bauern-Hortensie, Garten-Hortensie","Laubgehölze"
"Hydrangea petiolaris","Kletter-Hortensie","Laubgehölze"
"Hypericum 'Hidcote'","Großblumiges Johanniskraut, Großblumiger Johannisstrauch","Laubgehölze"
"Hypericum calycinum","Immergrünes Johanniskraut, Niedriges Johanniskraut","Laubgehölze"
"Iberis sempervirens 'Zwergschneeflocke'","Immergrüne Schleifenblume, Immergrünes Schneekissen","Stauden"
"Ilex aquifolium","Europäische Stechpalme, Gewöhnliche Hülse","Heimische, besonders geschützte Pflanzen"
"Ilex aquifolium 'Alaska'","Alaska-Hülse, Alaska-Stechpalme","Laubgehölze"
